Examset;Question;Q_Type;Haiko True;Haiko False;Opus True;Opus False;;;;;;
Spring 2025;1;Visual;5;0;5;0;;;;;;
Spring 2025;2;Visual;0;5;5;0;;;;;;
Spring 2025;3;Computational;0;5;5;0;;;;;;
Spring 2025;4;Visual;4;1;4;1;;;;;;
Spring 2025;5;Knowlegde;0;5;5;0;;;;;;
Spring 2025;6;Computational;1;4;5;0;;;;;;
Spring 2025;7;Computational;0;5;5;0;;;;;;
Spring 2025;8;Computational;0;5;5;0;;;;;;
Spring 2025;9;Visual;0;5;5;0;;;;;;
Spring 2025;10;Computational;0;5;1;4;;;;;;
Spring 2025;11;Computational;5;0;5;0;;;;;;
Spring 2025;12;Visual;0;5;2;3;;;;;;
Spring 2025;13;Visual;5;0;5;0;;;;;;
Spring 2025;14;Knowlegde;5;0;5;0;;;;;;
Spring 2025;15;Knowlegde;0;5;5;0;;;;;;
Spring 2025;16;Computational;2;3;5;0;;;;;;
Spring 2025;17;Visual;0;5;5;0;;;;;;
Spring 2025;18;Visual;5;0;0;5;;;;;;
Spring 2025;19;Visual;5;0;5;0;;;;;;
Spring 2025;20;Visual;0;5;2;3;;;;;;
Spring 2025;21;Computational;0;5;5;0;;;;;;
Spring 2025;22;Visual;5;0;5;0;;;;;;
Spring 2025;23;Knowlegde;0;5;5;0;;;;;;
Spring 2025;24;Knowlegde;5;0;5;0;;;;;;
Spring 2025;25;Visual;5;0;5;0;;;;;;
Spring 2025;26;Computational;1;4;5;0;;;;;;
Spring 2025;27;Visual;5;0;1;4;;;;;;
Fall 2025;28;Visual;0;5;1;4;;;;;;
Fall 2025;29;Computational;0;5;5;0;;;;;;
Fall 2025;30;Computational;0;5;5;0;;;;;;
Fall 2025;31;Knowlegde;5;0;5;0;;;;;;
Fall 2025;32;Visual;5;0;5;0;;;;;;
Fall 2025;33;Visual;0;5;2;3;;;;;;
Fall 2025;34;Computational;0;5;5;0;;;;;;
Fall 2025;35;Knowlegde;5;0;5;0;;;;;;
Fall 2025;36;Visual;5;0;5;0;;;;;;
Fall 2025;37;Visual;4;1;3;2;;;;;;
Fall 2025;38;Computational;0;5;5;0;;;;;;
Fall 2025;39;Computational;5;0;5;0;;;;;;
Fall 2025;40;Knowlegde;5;0;4;1;;;;;;
Fall 2025;41;Visual;2;3;5;0;;;;;;
Fall 2025;42;Computational;0;5;5;0;;;;;;
Fall 2025;43;Visual;5;0;5;0;;;;;;
Fall 2025;44;Knowlegde;0;5;3;2;;;;;;
Fall 2025;45;Visual;0;5;4;1;;;;;;
Fall 2025;46;Visual;5;0;5;0;;;;;;
Fall 2025;47;Knowlegde;5;0;4;1;;;;;;
Fall 2025;48;Visual;5;0;5;0;;;;;;
Fall 2025;49;Computational;5;0;5;0;;;;;;
Fall 2025;50;Visual;0;5;1;4;;;;;;
Fall 2025;51;Computational;0;5;5;0;;;;;;
Fall 2025;52;Visual;0;5;5;0;;;;;;
Fall 2025;53;Visual;0;5;4;1;;;;;;
Fall 2025;54;Visual;0;5;5;0;;;;;;
