;;;Haiku ;;OPUS ;
;;;True ;False;True ;False
1;Fall 2025;D;;1;;1
2;Fall 2025;B;;1;1;
3;Fall 2025;A;1;;1;
4;Fall 2025;D;1;;1;
5;Fall 2025;C;1;;1;
6;Fall 2025;B;;1;;1
7;Fall 2025;A;1;;1;
8;Fall 2025;C;1;;1;
9;Fall 2025;B;1;;1;
10;Fall 2025;D;1;;;1
11;Fall 2025;A;;1;1;
12;Fall 2025;B;1;;1;
13;Fall 2025;C;1;;1;
14;Fall 2025;D;;1;1;
15;Fall 2025;A;;1;1;
16;Fall 2025;C;1;;1;
17;Fall 2025;A;;1;1;
18;Fall 2025;A;;1;1;
19;Fall 2025;D;1;;1;
20;Fall 2025;B;1;;1;
21;Fall 2025;D;1;;1;
22;Fall 2025;B;1;;1;
23;Fall 2025;A;;1;;1
24;Fall 2025;C;1;;1;
25;Fall 2025;D;;1;1;
26;Fall 2025;C;;1;1;
27;Fall 2025;B;1;;1;
